사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022022800100513,2022년 2월 28일 22시,월요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,원동기,남,35세,상해없음,보행자,여,27세,경상
2022022800100514,2022년 2월 28일 22시,월요일,부산광역시 금정구 남산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,보행자,남,44세,경상
2022022800100515,2022년 2월 28일 22시,월요일,부산광역시 연제구 연산동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,27세,상해없음,원동기,남,37세,경상
2022022800100543,2022년 2월 28일 23시,월요일,부산광역시 부산진구 가야동,사망사고,1,0,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,25세,상해없음,이륜,남,39세,사망
2022030100100004,2022년 3월 1일 01시,화요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,18세,상해없음,이륜,남,28세,경상
2.02203E+15,2022년 3월 1일 03시,화요일,부산광역시 서구 서대신동3가,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,원동기,남,30세,경상,,,,
2022030100100014,2022년 3월 1일 05시,화요일,부산광역시 해운대구 석대동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,이륜,남,55세,중상
2022030100100037,2022년 3월 1일 08시,화요일,부산광역시 해운대구 우동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,이륜,남,22세,중상
2022030100100062,2022년 3월 1일 10시,화요일,부산광역시 북구 금곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,76세,상해없음,이륜,여,19세,경상
2022030100100063,2022년 3월 1일 10시,화요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,승용,여,48세,경상
2022030100100089,2022년 3월 1일 11시,화요일,부산광역시 남구 대연동,경상사고,0,0,2,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,24세,경상,승용,여,31세,경상
2.02203E+15,2022년 3월 1일 11시,화요일,부산광역시 동래구 명장동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,84세,상해없음,승용,여,52세,경상
2022030100100091,2022년 3월 1일 11시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,이륜,남,46세,경상
2022030100100092,2022년 3월 1일 11시,화요일,부산광역시 사하구 괴정동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,57세,경상
2.02203E+15,2022년 3월 1일 12시,화요일,부산광역시 부산진구 당감동,중상사고,0,1,0,0,차대차 - 기타,신호위반,젖음/습기,흐림,교차로 - 교차로안,승용,남,60세,상해없음,이륜,남,55세,중상
2022030100100151,2022년 3월 1일 14시,화요일,부산광역시 북구 덕천동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,이륜,남,19세,중상
2022030100100152,2022년 3월 1일 14시,화요일,부산광역시 해운대구 중동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,이륜,남,35세,중상
2022030100100154,2022년 3월 1일 14시,화요일,부산광역시 기장군 일광면,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,60세,경상
2022030100100173,2022년 3월 1일 15시,화요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,27세,상해없음,승용,여,52세,경상
2022030100100209,2022년 3월 1일 16시,화요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,이륜,남,53세,경상
2022030100100234,2022년 3월 1일 17시,화요일,부산광역시 동구 수정동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21세,상해없음,보행자,남,62세,중상
2022030100100262,2022년 3월 1일 18시,화요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,이륜,남,33세,경상
2022030100100313,2022년 3월 1일 20시,화요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,56세,상해없음,보행자,남,56세,중상
2022030100100314,2022년 3월 1일 20시,화요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,55세,상해없음,승용,여,41세,경상
2022030100100361,2022년 3월 1일 23시,화요일,부산광역시 동래구 온천동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,40세,부상신고
2022030200100002,2022년 3월 2일 00시,수요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,기타불명,미분류,기타불명,이륜,남,44세,경상
2022030200100003,2022년 3월 2일 00시,수요일,부산광역시 기장군 일광읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,14세,상해없음,승용,남,28세,경상
2022030200100033,2022년 3월 2일 07시,수요일,부산광역시 중구 대창동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,57세,상해없음,보행자,남,65세,중상
2022030200100055,2022년 3월 2일 08시,수요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,47세,상해없음,화물,남,38세,상해없음
2022030200100056,2022년 3월 2일 08시,수요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,17세,상해없음,승용,여,45세,경상
2022030200100057,2022년 3월 2일 08시,수요일,부산광역시 부산진구 개금동,중상사고,0,1,0,1,차대차 - 기타,교차로운행방법위반,건조,기타,교차로 - 교차로부근,이륜,남,69세,부상신고,승용,남,48세,상해없음
2022030200100058,2022년 3월 2일 08시,수요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,남,51세,경상
2022030200100099,2022년 3월 2일 09시,수요일,부산광역시 동구 범일동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,승합,남,60세,상해없음
2.02203E+15,2022년 3월 2일 09시,수요일,부산광역시 기장군 정관읍,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,승용,남,36세,상해없음
2022030200100126,2022년 3월 2일 10시,수요일,부산광역시 사상구 감전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,57세,상해없음,자전거,남,78세,중상
2022030200100159,2022년 3월 2일 11시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,62세,기타불명,이륜,남,73세,경상
2.02203E+15,2022년 3월 2일 11시,수요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,여,61세,경상
2.02203E+15,2022년 3월 2일 12시,수요일,부산광역시 중구 부평동1가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,62세,상해없음,보행자,여,79세,중상
2022030200100252,2022년 3월 2일 14시,수요일,부산광역시 강서구 대저2동,사망사고,1,1,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,32세,상해없음,화물,남,73세,사망
